Asked,User Picked,Cost,Selected Points,Known Defects,Features Used,Score
9.0,10.0,231.0,60.0,36.0,31.0,0.001
9.0,9.0,229.0,66.6,36.0,33.0,0.0015
9.0,12.0,229.0,66.6,36.0,33.0,0.001
9.0,12.0,229.0,66.6,36.0,33.0,0.001
9.0,7.0,234.0,71.4,36.0,30.0,0.001
9.0,10.0,228.0,70.0,35.0,30.0,0.001
9.0,9.0,230.0,66.6,35.0,30.0,0.001
9.0,11.0,228.0,54.5,35.0,30.0,0.001
9.0,11.0,229.0,63.6,36.0,31.0,0.001
9.0,10.0,232.0,70.0,36.0,31.0,0.001
9.0,13.0,229.0,61.5,36.0,33.0,0.001
9.0,9.0,228.0,66.6,35.0,32.0,0.0015
9.0,10.0,231.0,60.0,37.0,33.0,0.001
9.0,9.0,230.0,55.5,36.0,32.0,0.001
9.0,11.0,228.0,72.7,35.0,32.0,0.001
9.0,9.0,234.0,55.5,36.0,29.0,0.001
9.0,12.0,229.0,66.6,36.0,33.0,0.001
9.0,12.0,227.0,58.33,35.0,31.0,0.001
9.0,12.0,229.0,66.6,36.0,33.0,0.001
9.0,12.0,227.0,58.33,35.0,31.0,0.001
